Room_T,RH,Teff,Wind_Speed
26,45,25.6,0.1
26,45,24.8,0.3
26,45,23.9,0.5
26,45,23.2,0.7
26,45,22.5,0.9
26,45,21.8,1.1
26,45,21.3,1.3
26,45,20.7,1.5
26,45,19.8,1.7
26,45,18.8,1.9
26,45,18.2,2.1
26,45,18.0,2.3
26,45,17.8,2.5
25,45,25.0,0.0
25,45,24.7,0.1
25,45,24.0,0.3
25,45,23.3,0.5
25,45,22.7,0.7
25,45,22.1,0.9
25,45,21.4,1.1
25,45,20.9,1.3
25,45,20.3,1.5
25,45,19.4,1.7
25,45,18.4,1.9
25,45,17.8,2.1
25,45,17.5,2.3
25,45,17.3,2.5
24,45,24.1,0.0
24,45,23.8,0.1
24,45,23.3,0.3
24,45,22.8,0.5
24,45,22.2,0.7
24,45,21.6,0.9
24,45,21.0,1.1
24,45,20.5,1.3
24,45,19.9,1.5
24,45,19.0,1.7
24,45,18.0,1.9
24,45,17.3,2.1
24,45,17.0,2.3
24,45,16.7,2.5
23,45,23.2,0.0
23,45,22.9,0.1
23,45,22.3,0.3
23,45,21.6,0.5
23,45,21.2,0.7
23,45,20.7,0.9
23,45,20.2,1.1
23,45,19.7,1.3
23,45,19.2,1.5
23,45,18.5,1.7
23,45,17.7,1.9
23,45,17.2,2.1
23,45,16.9,2.3
23,45,16.6,2.5
22,45,22.5,0.0
22,45,22.1,0.1
22,45,21.3,0.3
22,45,20.5,0.5
22,45,20.1,0.7
22,45,19.8,0.9
22,45,19.4,1.1
22,45,19.0,1.3
22,45,18.5,1.5
22,45,18.0,1.7
22,45,17.5,1.9
22,45,17.1,2.1
22,45,16.9,2.3
22,45,16.6,2.5
21,45,21.9,0.0
21,45,21.5,0.1
21,45,20.5,0.3
21,45,19.6,0.5
21,45,19.3,0.7
21,45,19.0,0.9
21,45,18.7,1.1
21,45,18.4,1.3
21,45,18.0,1.5
21,45,17.6,1.7
21,45,17.3,1.9
21,45,17.0,2.1
21,45,16.8,2.3
21,45,16.7,2.5
35,50,35.0,0.00
35,50,34.4,0.1
35,50,33.3,0.3
35,50,32.2,0.5
35,50,30.3,0.7
35,50,28.5,0.9
35,50,26.6,1.1
35,50,25.5,1.3
35,50,24.4,1.5
35,50,24.0,1.7
35,50,23.5,1.9
35,50,23.1,2.1
35,50,22.6,2.3
35,50,22.2,2.5
34,50,34.0,0.00
34,50,33.4,0.1
34,50,32.3,0.3
34,50,31.2,0.5
34,50,29.5,0.7
34,50,27.9,0.9
34,50,26.2,1.1
34,50,25.2,1.3
34,50,24.2,1.5
34,50,23.7,1.7
34,50,23.3,1.9
34,50,22.8,2.1
34,50,22.3,2.3
34,50,21.8,2.5
33,50,33.0,0.00
33,50,32.4,0.1
33,50,31.3,0.3
33,50,30.2,0.5
33,50,28.7,0.7
33,50,27.3,0.9
33,50,25.8,1.1
33,50,24.9,1.3
33,50,24.0,1.5
33,50,23.5,1.7
33,50,23.1,1.9
33,50,22.6,2.1
33,50,22.0,2.3
33,50,21.4,2.5
32,50,32.0,0.00
32,50,31.4,0.1
32,50,30.3,0.3
32,50,29.2,0.5
32,50,27.9,0.7
32,50,26.7,0.9
32,50,25.4,1.1
32,50,24.6,1.3
32,50,23.7,1.5
32,50,23.3,1.7
32,50,22.8,1.9
32,50,22.3,2.1
32,50,21.6,2.3
32,50,21.0,2.5
31,50,31.0,0.00
31,50,30.4,0.1
31,50,29.3,0.3
31,50,28.2,0.5
31,50,27.1,0.7
31,50,26.1,0.9
31,50,25.0,1.1
31,50,24.2,1.3
31,50,23.4,1.5
31,50,22.8,1.7
31,50,22.3,1.9
31,50,21.7,2.1
31,50,21.2,2.3
31,50,20.6,2.5
30,50,30.0,0.0
